"subjectid","activity"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"STANDING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"SITTING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"LAYING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING"
2,"WALKING_DOWNSTAIRS"
2,"WALKING_DOWNSTAIRS"
2,"WALKING_DOWNSTAIRS"
